#SOCIAL
OthersFound $n looks at $N with adoring eyes.~
VictFound   $n looks at you with adoring eyes.~
CharAuto    Aww! You adore yourself!~
OthersAuto  $n adores $mself soooo much!~
End

#SOCIAL
Name        aerosmith~
CharNoArg   You're back!  You're back in the saddle again!~
OthersNoArg $n's back!  $e's back in the saddle again!~
CharFound   You tell $N to walk this way.~
OthersFound $n tells $N to walk this way.~
VictFound   $n tells you to walk this way.~
CharAuto    You kiss on a devil to piss off a saint.~
OthersAuto  $n kisses on a devil to piss off a saint.~
End

#SOCIAL
Name        again~
CharNoArg   You think 'not again!'~
OthersNoArg $n hits $s head on a tree and cries 'Not AGAIN!?'~
CharFound   You beg $N to do it again!  You must have enjoyed the first time.~
OthersFound $n looks at $N and says 'Thank you, may I have another?'~
VictFound   $n begs you for a repeat performance.  Do it again!~
CharAuto    You make a mental note to do that again.~
OthersAuto  $n makes a mental note to do what $e just did more often!~
End

#SOCIAL
Name        agree~
CharNoArg   You seem to be in an agreeable mood.~
OthersNoArg $n seems to agree.~
CharFound   You agree with $M.~
OthersFound $n agrees with $N.~
VictFound   $n agrees with you.~
CharAuto    Well I hope you would agree with yourself!~
OthersAuto  $n agrees with $mself, of course.~
End

#SOCIAL
Name        ahem~
CharNoArg   You clear your throat loudly and look slowly around.~
OthersNoArg $n clears $s throat loudly and looks around.~
CharFound   You cock an eyebrow at $N and clear your throat.~
OthersFound $n cocks an eyebrow at $N and clears $s throat.~
VictFound   $n cocks an eyebrow at you and clears $s throat.~
CharAuto    You quickly clear your throat and glance around nervously.~
OthersAuto  $n suddenly clears $s throat and glances around nervously.~
End

#SOCIAL
Name        ahh~
CharNoArg   You say 'Ahhh...  I get it'.~
OthersNoArg $n says 'Ahhh...  I get it'.~
CharFound   You say 'Ahhh...  Interesting' to $M.~
OthersFound $n says 'Ahhh...  Interesting' to $N.~
VictFound   $n says 'Ahhh...  Interesting' to you.~
CharAuto    You think to yourself 'Intersting, but stupid'.~
OthersAuto  $n starts to think about something, too bad you can not hear it.~
End

#SOCIAL
Name        alfalfa~
CharNoArg   You hear a strange voice yell 'Spaaanky!'~
OthersNoArg $n's eyes look puzzled as $e hears strange voices...~
CharFound   You point a finger, making a lone hair on the back of $N's noggin sproing to attention.~
OthersFound $n points a finger, making a lone hair on the back of $N's noggin sproing to attention.~
VictFound   $n points a finger, making a lone hair on the back of your noggin sproing to attention.~
CharAuto    Buy some mousse.~
OthersAuto  $n dreams of mousse.~
End

#SOCIAL
Name        alligator~
CharNoArg   You hop around like you were just bitten by an alligator.~
OthersNoArg $n was just bitten by an alligator!  OW!~
CharFound   You throw an alligator at $N!~
OthersFound $n throws an alligator at $N!~
VictFound   $n throws an alligator at you!~
CharAuto    You wrestle with an alligator.~
OthersAuto  $n wrestles with an alligator, the alligator seems to have the upper hand.~
End

#SOCIAL
Name        apologize~
CharNoArg   You apologize for your behavior.~
OthersNoArg $n apologizes for $s rude behavior.~
CharFound   You apologize to $M.~
OthersFound $n apologizes to $N.~
VictFound   $n apologizes to you.~
CharAuto    You apologize to yourself.~
OthersAuto  $n apologizes to $mself.  Hmmmm.~
End

#SOCIAL
Name        applaud~
CharNoArg   Clap, clap, clap.~
OthersNoArg $n gives a round of applause.~
CharFound   You clap at $S actions.~
OthersFound $n claps at $N's actions.~
VictFound   $n gives you a round of applause.  You MUST'VE done something good!~
CharAuto    You applaud at yourself.  Boy, are we conceited!~
OthersAuto  $n applauds at $mself.  Boy, are we conceited!~
End

#SOCIAL
Name        arf~
CharNoArg   You exclaim 'Arf!  Arf!  Arf!'~
OthersNoArg $n exclaims 'Arf!  Arf!  Arf!'~
CharFound   You look at $N and exclaim 'Arf!  Arf!  Arf!'~
OthersFound $n looks at $N and exclaims 'Arf!  Arf!  Arf!'~
VictFound   $n looks at you and exclaims 'Arf!  Arf!  Arf!'~
CharAuto    You run around the room exclaiming 'Arf!  Arf!  Arf!'~
OthersAuto  $n runs around the room exclaiming 'Arf!  Arf!  Arf!'~
End

#SOCIAL
Name        argh~
CharNoArg   You go AAAAAAARRRRRRRGGGGGGHHHHHH!!!~
OthersNoArg $n screams ARGHHHHHHHHHHHHHHH!!!~
CharFound   You scream wildly at $M, AAAAAAARRRRRRRGHHHH!!!  What has $E done!~
OthersFound $n screams wildly at $N, AAAAAAAARRRRRRRRRGHHHHHHHHH!!!  What has $E done!~
VictFound   $n screams wildly at you.  Makes you wonder what you've done.~
CharAuto    You can't help but scream AAAAARRRRRRRGGGGGGHHHHHH at yourself.~
OthersAuto  $n screams wildly to the sky.~
End

#SOCIAL
Name        austin~
CharNoArg   You give everyone the Stone Cold Salute.~
OthersNoArg $n gives everyone the Stone Cold Salute.~
CharFound   You give $N a Stone Cold Stunner.~
OthersFound $n gives $N a Stone Cold Stunner.~
VictFound   $n gives you a Stone Cold Stunner.~
CharAuto    You climb onto the second turnbuckle and drink a couple of Steveweisers.~
OthersAuto  $n climbs onto the second turnbuckle and drinks a couple of Steveweisers.~
End

#SOCIAL
Name        awww~
CharNoArg   You go 'Awww...'~
OthersNoArg $n goes 'Awww...'~
CharFound   You go 'Awww...' towards $M.~
OthersFound $n goes 'Awww...' towards $N.~
VictFound   $n goes 'Awww...' towards you.~
CharAuto    You think of fond memories and go 'Awww...'~
OthersAuto  $n smiles and goes 'Awww...'~
End

#SOCIAL
Name        babble~
CharNoArg   You begin to babble like an idiot.~
OthersNoArg $n begins to babble like an idiot.~
CharFound   You begin to babble at $N and $E can't understand a word you are saying.~
OthersFound $n tries to say something to $N but just babbles like an idiot.~
VictFound   $n tries to talk to you but just babbles like an idiot.~
CharAuto    You babble at yourself.~
OthersAuto  $n begins to babble like an idiot.~
End

#SOCIAL
Name        babe~
CharNoArg   You strike a pose in your most babe-like style!~
OthersNoArg $n strikes a pose in $s most babe-like style!~
CharFound   You look at $N and think 'Wow! What a babe!'~
OthersFound $n looks at $N and thinks 'Wow! What a babe!'~
VictFound   $n thinks you are a supreme babe!~
CharAuto    You think you are a babe!~
OthersAuto  $n seems to think that $e is a babe!~
End

#SOCIAL
Name        back~
CharNoArg   You announce you are back to everyone.~
OthersNoArg $n announces $e is back.~
CharFound   You try to backstab $N, but you nearly cut off your own finger.~
OthersFound $n tries to backstab $N, but $e nearly cuts off $s own finger.~
VictFound   $n tries to backstab you, but you catch it just in time.~
CharAuto    You try to backstab yourself but cannot reach your back with the dagger.~
OthersAuto  $n tries to backstab $mself.  What a dweeb!~
End

#SOCIAL
Name        baffle~
CharNoArg   You scrunch up your face cuz you are totally baffled!~
OthersNoArg $n scrunches up $s face cuz $e is totally baffled!~
CharFound   You scrunch up your face at $N cuz $S behavior totally baffles you!~
OthersFound $n scrunches up $s face at $N cuz $n is totally baffled by $N!~
VictFound   $n scrunches up $s face at you cuz you totally baffle $m!~
CharAuto    You baffle yourself.~
OthersAuto  $n seems to be baffled by $s own thoughts.~
End

#SOCIAL
Name        bagel~
CharNoArg   You pop a bagel in the fire and toast it till it's golden brown.~
OthersNoArg $n pops a bagel in the fire and toasts it till it's golden brown.~
CharFound   You pull a golden brown bagel from the fire and give it to $N.~
OthersFound $n pulls a golden brown bagel from the fire and gives it to $N.~
VictFound   $n pulls a golden brown bagel from the fire and gives it to you.~
CharAuto    Your pull a golden brown bagel from the fire and pop it in your mouth. Yummy!~
OthersAuto  $n pulls a golden brown bagel from the fire and pops it into $s mouth. Yummy!~
End

#SOCIAL
Name        bah~
CharNoArg   you say 'BAH!' and turn away in contempt.~
OthersNoArg $n says 'BAH!' and turns away in contempt.~
CharFound   You say 'BAH!' at $M.~
OthersFound $n seems to be making sheep noises at $N.~
VictFound   $n looks at you and says 'BAH!'~
End

#SOCIAL
Name        banana~
CharNoArg   Daylight come, me want go home.~
OthersNoArg $n leans way back, and bellows forth 'DAAAAAAAYO!'~
CharFound   You sneak up on $N, and sing 'DAAAAAYO!'.  Bananas are dancing before $S eyes.~
OthersFound $n sneaks up behind $N and screams 'DAAAAAAAAAAAAAY-O' at the top of $s lungs...  Bananas are dancing before $S eyes now.~
VictFound   DAAAAAYO!  Ack!  Bananas!  Bananas everywhere!  $n snickers at your predicament.~
CharAuto    Daylight come, me want go home.~
OthersAuto  $n bellows forth 'DAAAAAYO!' and dances a little rumba.~
End

#SOCIAL
Name        bandaid~
CharNoArg   You search for a bandage for your wounds.~
CharFound   You give $M a bandaid.~
VictFound   $n gives you a bandaid.  Hope it helps.  *FROWN*~
CharAuto    You put a bandaid over your finger.  Does it feel better now?~
OthersAuto  $n puts a bandaid over $s finger.~
End

#SOCIAL
Name        barf~
CharNoArg   You scream out 'I'm gonna be sick!' and then heave your stomach contents onto the ground.~
OthersNoArg $n is so sick that $e tells everyone 'I gotta barf!'.~
CharFound   You yell at $N 'Run!  I gotta barf!' and then spill out your dinner on $N.~
OthersFound $n barfs all over $N!  Yecchh, what a mess!~
VictFound   $n has just projectile vomited all over your nice, clean armor!~
CharAuto    You say to yourself 'Am I ever sick!' and then barf up your dinner!~
OthersAuto  $n begins to projectile vomit over everything in the room!~
End

#SOCIAL
Name        bark~
CharNoArg   Woof!  Woof!~
OthersNoArg $n barks like a dog.~
CharFound   You bark at $M.~
OthersFound $n barks at $N.~
VictFound   $n barks at you.~
CharAuto    You bark at yourself.  Woof!  Woof!~
OthersAuto  $n barks at $mself.  Woof!  Woof!~
End

#SOCIAL
Name        bashful~
CharNoArg   For some reason, you start feeling very bashful.~
OthersNoArg $n begins looking quite bashful.~
CharFound   You look up at $N, look at the ground and bashfully trace figure eights with your foot.~
OthersFound $n looks at $N, then bashfully stares at $s feet.~
VictFound   $n looks up at you, then bashfully traces figure eights with $s foot.~
CharAuto    For some reason, you start feeling very bashful.~
OthersAuto  $n begins looking quite bashful.~
End

#SOCIAL
Name        bbiab~
CharNoArg   You announce that you'll be back in a bit.~
OthersNoArg $n announces that $e'll be back in a bit.~
CharFound   You announce to $N that you'll be back in a bit.~
OthersFound $n announces to $N that $e'll be back in a bit.~
VictFound   $n announces to you that $e'll be back in a bit.~
CharAuto    You ask 'Why do people abbrivate such easy things to say?!?'~
OthersAuto  $n asks 'Why do people abbrivaite such easy things to say?!?'~
End

#SOCIAL
Name        bbl~
CharNoArg   You announce that you will be back later.~
OthersNoArg $n announces that $e'll be back later.~
CharFound   You inform $M that you will be back later.~
OthersFound $n informs $N that $e will be back later.~
VictFound   $n informs you that $e will be back later~
CharAuto    You mumble to yourself that you'll be back later.~
OthersAuto  $n mumbles to $mself that $e'll be back later.~
End

#SOCIAL
Name        bbs~
CharNoArg   You announce that you will be back soon.~
OthersNoArg $n announces that $e'll be back soon.~
CharFound   You announce to $N that you'll be back soon.~
OthersFound $n announces to $N that $e'll be back soon.~
VictFound   $n announces to you that $e'll be back soon.~
CharAuto    You say 'In the 80's, I used to own my own BBS!'~
OthersAuto  $n says 'In the 80's, I used to own my own BBS!'~
End

#SOCIAL
Name        bday~
CharNoArg   You wish it was your birthday.~
OthersNoArg $n wishes it was $s birthday.~
CharFound   You cheerfully say 'Happy Birthday $N!' ~
OthersFound $n cheerfully says 'Happy Birthday $N!' ~
VictFound   $n cheerfully says 'Happy Birthday $N!' ~
CharAuto    Everybody forgot your birthday :(~
OthersAuto  $n sings 'Happy birthday to me....' in a sad voice.  Shame on you for forgetting.~
End

#SOCIAL
Name        bearhug~
CharNoArg   You hug a grizzly bear.~
OthersNoArg $n hugs a flea-infested grizzly bear.~
CharFound   You bearhug $M.~
OthersFound $n bearhugs $N.  Some ribs break.~
VictFound   $n bearhugs you.  Wonder what's coming next?~
CharAuto    You bearhug yourself.~
OthersAuto  $n bearhugs $mself.~
End

#SOCIAL
Name        beatles~
CharNoArg   You are the walrus--Coo Coo C'Joob!~
OthersNoArg $n is the walrus--Coo Coo C'Joob!~
CharFound   You tell $N all $E needs is love.~
OthersFound $n tells $N all $E needs is love.~
VictFound   $n tells you all you need is love.~
CharAuto    You're so tired, you haven't slept a wink.~
OthersAuto  $n's so tired, $e hasn't slept a wink.~
End

#SOCIAL
Name        beckon~
CharNoArg   Psst, c'mon.  Anyone?~
OthersNoArg $n beckons to the air.  That might prove wise if $e gets stranded in a medieval submarine.~
CharFound   You beckon $N follow you through rain, snow, dragons' lairs and even *gulp* lag.~
OthersFound $n beckons $N follow $m.  You smell a rat.~
VictFound   $n beckons you follow $m through rain, snow, dragons' lairs and even *gulp* lag.~
CharAuto    Psst, c'mon $n.~
OthersAuto  $n beckons $n follow $n.  Ooooooook.~
End

#SOCIAL
Name        bed~
CharNoArg   You say 'It is time for me to hit the sheets...'~
OthersNoArg $n says 'It is time for me to hit the sheets...'~
CharFound   You say 'I am going to bed.  Laterz all.'~
OthersFound $n says 'I am going to bed.  Laterz all.'~
VictFound   $n says 'I am going to bed.  Laterz all.'~
CharAuto    You rest quietly on your bed.  That must be comfortable.~
OthersAuto  $n rests quietly on $s bed.  $n's bed looks comfortable.~
End

#SOCIAL
Name        beer~
CharNoArg   You down a cold, frosty beer.~
OthersNoArg $n downs a cold, frosty beer.~
CharFound   You draw a cold, frosty beer for $N.~
OthersFound $n draws a cold, frosty beer for $N.~
VictFound   $n draws a cold, frosty beer for you.~
CharAuto    You draw yourself a beer.~
OthersAuto  $n draws $mself a beer.~
End

#SOCIAL
Name        beg~
CharNoArg   You beg the gods for mercy.~
OthersNoArg The gods fall down laughing at $n's request for mercy.~
CharFound   You desperately try to squeeze a few coins from $M.~
OthersFound $n begs $N for a gold piece!~
VictFound   $n begs you for money.~
CharAuto    Begging yourself for money doesn't help.~
OthersAuto  $n begs himself for money.~
End

#SOCIAL
Name        behead~
CharNoArg   You look around for some heads to cut off.~
OthersNoArg $n looks around for some heads to cut off.~
CharFound   You grin evilly at $N and brandish your weapon.~
OthersFound $n grins evilly at $N, while branding $s weapon!~
VictFound   $n grins evilly at you, brandishing $s weapon.~
CharAuto    I really don't think you want to do that...~
OthersAuto  $n is so desperate for exp that $e tries to decapitate $mself!~
End

#SOCIAL
Name        bird~
CharNoArg   You summon a bird that circles arround looking for someone to crap on.~
OthersNoArg $n summons a bird that circles above looking for someone to take a crap on.~
CharFound   you summon a bird that circles above and craps on $N's head!~
OthersFound $n summons a bird that circles above and craps on $N's head!~
VictFound   $n summons a bird that circles above and craps on your head!~
CharAuto    You summon a bird that poops on your head.~
OthersAuto  $n summons a bird that poops on $s head.~
End

#SOCIAL
Name        bitedust~
CharNoArg   You sing 'Another one gone...  Another one bites the dust...'~
OthersNoArg $n sings 'Another one gone...  Another one bites the dust...'~
CharFound   You sing 'Another one gone...  Another one bites the dust...' to $N.~
OthersFound $n sings 'Another one gone...  Another one bites the dust...' to $N.~
VictFound   $n sings 'Another one gone...  Another one bites the dust...' to you.~
CharAuto    You say 'Did you know Another One Bites the Dust was sung by Queen in 1980?'~
OthersAuto  $n says 'Did you know Another One Bites the Dust was sung by Queen in 1980?'~
End

#SOCIAL
Name        bkiss~
CharNoArg   Blow a kiss to whom?~
OthersNoArg $n blows at $s hand.~
CharFound   You blow a kiss to $M.~
OthersFound $n blows a kiss to $N.  Touching, ain't it?~
VictFound   $n blows a kiss to you.  Not as good as a real one, huh?~
CharAuto    You blow a kiss to yourself.~
OthersAuto  $n blows a kiss to $mself.  Weird.~
End

#SOCIAL
Name        blackadder~
CharNoArg   You are being a complete and total bastard, just like Blackadder.~
OthersNoArg $n is being a complete and total bastard, just like Blackadder.~
CharFound   You sneer Blackadderishly at $N.~
OthersFound $n sneers Blackadderishly at $N.~
VictFound   $n sneers Blackadderishly at you.~
CharAuto    You have a cunning plan!  So cunning, you could brush your teeth with it!~
OthersAuto  $n has a cunning plan!  So cunning, you could brush your teeth with it!~
End

#SOCIAL
Name        blank~
CharNoArg   You get a blank look on your face.~
OthersNoArg $n gets a blank look on $s face.~
CharFound   You look at $N but draw a complete blank.~
OthersFound $n looks at $N but draws a blank.~
VictFound   $n looks at you and draws a total blank.~
End

#SOCIAL
Name        blast~
CharNoArg   You count down 10 9 8 7 6 5 4 3 2 1 and blast off!~
OthersNoArg $n counts down 10 9 8 7 6 5 4 3 2 1 and blasts off.~
CharFound   You look at $N and give $M a real blast.~
OthersFound $n looks at $N and gives $M a real blast!~
VictFound   $n looks at you and gives you a real blast!~
CharAuto    Do you really think that's polite?~
OthersAuto  $n looks as though $e wants a blast.~
End

#SOCIAL
Name        bleed~
CharNoArg   You bleed all over the room!~
OthersNoArg $n bleeds all over the room!  Get out of $s way!~
CharFound   You bleed all over $M!~
OthersFound $n bleeds all over $N.  Better leave, you may be next!~
VictFound   $n bleeds all over you!  YUCK!~
CharAuto    You bleed all over yourself!~
OthersAuto  $n bleeds all over $mself.~
End

#SOCIAL
Name        bleh~
CharNoArg   You grimace as if tasting something hideous and say 'BLEH!'~
OthersNoArg $n sticks $s tongue out and says 'Bleh!'~
CharFound   You 'bleh!' right in $N's face!~
OthersFound $n says 'bleh!' while making a horrid face at $N.~
VictFound   $n looks right at you and says 'BLEH!'~
CharAuto    You bleh at yourself in response to something disagreeable.~
OthersAuto  $n blehs at the thought of something.~
End

#SOCIAL
Name        blink~
CharNoArg   You blink in utter disbelief.~
OthersNoArg $n blinks in utter disbelief.~
CharFound   You blink at $M in confusion.~
OthersFound $n blinks at $N in confusion.~
VictFound   $n blinks at you in confusion.~
CharAuto    You are sooooooooooooo confused~
OthersAuto  $n blinks at $mself in complete confusion.~
End

#SOCIAL
Name        blownose~
CharNoArg   You blow your nose loudly.~
OthersNoArg $n blows $s nose loudly.~
CharFound   You blow your nose on $S shirt.~
OthersFound $n blows $s nose on $N's shirt.~
VictFound   $n blows $s nose on your shirt.~
CharAuto    You blow your nose on your shirt.~
OthersAuto  $n blows $s nose on $s shirt.~
End

#SOCIAL
Name        blunk~
CharNoArg   You try to blink but blunk instead.~
OthersNoArg $n tries to blink but $e blunks instead.~
CharFound   You blunk at $N.~
OthersFound $n blunks at $N.~
VictFound   $n blunks at you.~
End

#SOCIAL
Name        blush~
CharNoArg   Your cheeks are burning.~
OthersNoArg $n blushes.~
CharFound   You get all flustered up seeing $M.~
OthersFound $n blushes as $e sees $N here.~
VictFound   $n blushes as $e sees you here.  Such an effect on people!~
CharAuto    You blush at your own folly.~
OthersAuto  $n blushes as $e notices $s boo-boo.~
End

#SOCIAL
Name        boggle~
CharNoArg   You boggle in complete incomprehension.~
OthersNoArg $n boggles in complete incomprehension.~
CharFound   You boggle in complete incomprehension of $S actions.~
OthersFound $n boggles in complete incomprehension of $N's actions.~
VictFound   $n boggles in complete incomprehension of your actions.~
CharAuto    You boggle in complete incomprehension of your own actions.  Confused?~
OthersAuto  $n boggles, plain and simple.~
End

#SOCIAL
Name        bonk~
CharNoArg   You look for someone to bonk!~
OthersNoArg $n is looking for someone to bonk, go hide!~
CharFound   You bonk $M on the head!  BONK!  BONK!  BONK!~
OthersFound $n bonks $N silly!  BONK!  BONK!  BONK!~
VictFound   $n bonks you on the head!~
CharAuto    You bonk yourself hard on the head.  Ouch!~
OthersAuto  $n bonks $mself on the head.  That's gotta hurt.~
End

#SOCIAL
Name        book~
CharNoArg   You pull out a dusty book and begin to read quietly.~
OthersNoArg $n pulls out a dusty book and begins to read quietly.~
CharFound   You look at $M and say with a sneer 'Book 'em Danno!'~
OthersFound $n looks at $N and says with a sneer 'Book 'em Danno!'~
VictFound   $n looks at you and says with a sneer 'Book 'em Danno!'~
CharAuto    Uh oh! You forgot to return that book to the library.  Shame on you!~
OthersAuto  Realizing that $e forgot to return a book to the library, $n bows $s head in shame.~
End

#SOCIAL
Name        bored~
CharNoArg   You are bored.~
OthersNoArg $n is bored.~
CharFound   You are bored with $M.~
OthersFound $n is bored with $N.~
VictFound   $n is bored with you.~
CharAuto    You are bored with your life.~
OthersAuto  $n is really, really bored.~
End

#SOCIAL
Name        bounce~
CharNoArg   BOIINNNNNNGG!~
OthersNoArg $n bounces around.~
CharFound   You bounce onto $S lap.~
OthersFound $n bounces onto $N's lap.~
VictFound   $n bounces onto your lap.~
CharAuto    You bounce your head like a basketball.~
OthersAuto  $n plays basketball with $s head.~
End

#SOCIAL
Name        bow~
CharNoArg   You bow deeply.~
OthersNoArg $n bows deeply.~
CharFound   You bow before $M.~
OthersFound $n bows before $N.~
VictFound   $n bows before you.~
CharAuto    You kiss your toes.~
OthersAuto  $n folds up like a jack knife and kisses $s own toes.~
End

#SOCIAL
Name        brainstorm~
CharNoArg   Ignoring the cautions of the gods themselves, you turn your brain on.~
OthersNoArg $n, ignoring the gods' many cautions, turns $s brain on.~
CharFound   $N shivers in terror as thoughts begin to flow through your mighty noggin.~
OthersFound $N shivers in terror as thoughts begin to flow through $n's mighty noggin.~
VictFound   You shiver in terror as you notice thoughts flowing through $n's mighty noggin.~
CharAuto    Even the gods themselves don't know what might possibly be done about you and your noggin.~
OthersAuto  $n attempts to squeeze some thoughts from $s noggin, making the gods themselves, terrorized by this display, run.~
End

#SOCIAL
Name        brb~
CharNoArg   You announce that you will be right back.~
OthersNoArg $n says in a stern voice 'I'll be back!'~
CharFound   You announce to $M that you will be right back.~
OthersFound $n says to $N in a stern voice 'I'll be back!'~
VictFound   $n says to you in a stern voice 'I'll be right back!'~
CharAuto    You mumble to yourself 'I'll be right back'~
OthersAuto  $n mumbles to $mself 'I'll be right back, won't I?'~
End

#SOCIAL
Name        bret~
CharNoArg   You tell everyone that you are the Excellence of Execution.~
OthersNoArg $n tells everyone that $e is the Excellence of Execution.~
CharFound   You make $N submit with the SharpShooter.~
OthersFound $n makes $N submit with the SharpShooter.~
VictFound   $n makes you submit with the SharpShooter.~
CharAuto    You climb onto the second turnbuckle and hold the World Title belt aloft for your adoring fans.~
OthersAuto  $n climbs onto the second turnbuckle and holds the World Title belt aloft for $s adoring fans.~
End

#SOCIAL
Name        bristle~
CharNoArg   You clench your teeth and bristle with anger.~
OthersNoArg $n clenches $s teeth and bristles with anger.~
CharFound   You glare at $N, bristling with anger.~
OthersFound $n glares at $N, bristling with anger.~
VictFound   $n glares at you, bristling with anger.~
CharAuto    Your bristle at your foolishness.~
OthersAuto  $n bristles at $mself and $s foolishness.~
End

#SOCIAL
Name        brownie~
CharNoArg   You munch on a delicious brownie...  You begin to feel light headed.~
OthersNoArg $n munches on a funny-looking brownie.  $n begins to feel light headed.~
CharFound   You give $N a funny-looking brownie.~
OthersFound $n gives $N a funny-looking brownie.~
VictFound   $n gives you a funny-looking brownie.  Be careful!~
CharAuto    You look very strange giving yourself a brownie.~
OthersAuto  $n gives $mself a brownie, $e might be a BIT strange.~
End

#SOCIAL
Name        brub~
CharNoArg   Your back is hurting you.~
OthersNoArg $n's back is hurting $m.~
CharFound   You begin to rub $M back.~
OthersFound $n is rubbing $N's back.~
VictFound   $n begins to rub your back.~
CharAuto    You wish you could have a back rub.~
OthersAuto  $n is mumbling that $e needs a back rub, hint hint!~
End

#SOCIAL
Name        brush~
CharNoArg   Brush what?  Who?  Where?~
CharFound   You brush out $S hair for $M.  Very thoughtful.~
OthersFound $n brushes $N's hair for $M.  Looks better now.~
VictFound   $n brushes out your hair.  How nice of $m.~
CharAuto    You brush out your hair.  There - much better.~
OthersAuto  $n brushes out $s hair.  Looks much better now.~
End

#SOCIAL
Name        buffer~
CharNoArg   You shout 'LLLLLLLLet's get ready to RRRRRRRUMBLE!!!'~
OthersNoArg $n shouts 'LLLLLLLLet's get ready to RRRRRRRUMBLE!!!'~
CharFound   You shout to $N 'LLLLLLLLet's get ready to RRRRRRRUMBLE!!!'~
OthersFound $n shouts to $N 'LLLLLLLLet's get ready to RRRRRRRUMBLE!!!'~
VictFound   $n shouts to you 'LLLLLLLLet's get ready to RRRRRRRUMBLE!!!'~
CharAuto    You shout 'Are You READY?' as you prepare to announce the Main Event.~
OthersAuto  $n shouts 'Are You READY?' as $n prepares to announce the Main Event.~
End

#SOCIAL
Name        bungee~
CharNoArg   You look around slyly, trying to find someone to kick off the mud.~
OthersNoArg $n looks around slyly, trying to find someone to kick off the mud.~
CharFound   You whip out a bungee cord, stick it on $N, and kick $M off the mud!~
OthersFound $n whips out a bungee cord, sticks it on $N, and pushes $M off the mud.~
VictFound   $n whips out a bungee cord, sticks it on you, and pushes you off the mud!  Eeeep!~
CharAuto    You connect yourself to a bungee cord, and jump off the mud!  Bombs away!~
OthersAuto  $n connects itself to a bungee cord and jumps off the mud!  Phew, you were hoping $E would leave soon!~
End

#SOCIAL
Name        bunny~
CharNoArg   You strike a pose just like a widdle bunny hunny.  Awww.~
OthersNoArg $n strikes a pose just like a widdle bunny hunny.  Awww.~
CharFound   You look at $N and say 'That's my widdle bunny hunny!'~
OthersFound $n looks at $N and says 'That's my widdle bunny hunny!'~
VictFound   $n looks at you and says, 'That's my widdle bunny hunny!'~
CharAuto    Awww...  Do you miss your bunny?~
OthersAuto  $n looks as though $e misses $s little bunny.  Aww...~
End

#SOCIAL
Name        burp~
CharNoArg   You burp loudly.~
OthersNoArg $n burps loudly.~
CharFound   You burp loudly to $M in response.~
OthersFound $n burps loudly in response to $N's remark.~
VictFound   $n burps loudly in response to your remark.~
CharAuto    You burp at yourself.~
OthersAuto  $n burps at $mself.  What a sick sight.~
End

#SOCIAL
Name        buzz~
CharNoArg   You ring in on your buzzer.~
OthersNoArg $n rings in on $s buzzer.~
CharFound   You ring in on your buzzer and stick your tongue out at $N.~
OthersFound $n rings in on $s buzzer and sticks $s tongue out at $N.~
VictFound   $n rings in on $s buzzer and sticks $s tongue out at you.~
CharAuto    You ring in on your buzzer with a determined look on your face.~
